True_Label,Quantum_Prediction,Correct
DrugY,DrugY,True
DrugY,DrugY,True
drugX,DrugY,False
drugX,DrugY,False
drugX,DrugY,False
drugC,DrugY,False
DrugY,DrugY,True
drugX,drugX,True
drugX,DrugY,False
DrugY,DrugY,True
drugA,drugA,True
drugC,DrugY,False
DrugY,DrugY,True
DrugY,DrugY,True
DrugY,drugX,False
drugA,DrugY,False
drugB,DrugY,False
DrugY,drugX,False
drugC,drugX,False
drugB,DrugY,False
drugX,drugX,True
DrugY,DrugY,True
DrugY,DrugY,True
drugB,DrugY,False
DrugY,DrugY,True
DrugY,DrugY,True
DrugY,DrugY,True
DrugY,drugX,False
DrugY,drugX,False
DrugY,drugX,False
drugA,DrugY,False
DrugY,DrugY,True
DrugY,DrugY,True
DrugY,DrugY,True
drugX,DrugY,False
DrugY,DrugY,True
drugX,DrugY,False
drugX,DrugY,False
drugC,DrugY,False
drugX,DrugY,False
DrugY,DrugY,True
DrugY,DrugY,True
DrugY,drugX,False
drugX,drugX,True
DrugY,DrugY,True
drugA,DrugY,False
DrugY,DrugY,True
drugA,DrugY,False
drugX,DrugY,False
drugA,DrugY,False
drugX,drugX,True
drugX,DrugY,False
drugA,DrugY,False
DrugY,DrugY,True
drugB,DrugY,False
drugC,DrugY,False
drugB,DrugY,False
DrugY,DrugY,True
drugX,DrugY,False
drugX,DrugY,False
